SampleID	TERT	Tissue	Tissues	Description	EXTEND
GTEX-1122O-0005-SM-5O99J	0.06366	Blood	WholeBlood	WholeBlood	0.389285165
GTEX-1122O-0008-SM-5QGR2	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.492093812
GTEX-1122O-0126-SM-5GICA	0.02205	Lung	Lung	Lung	0.371944003
GTEX-1122O-0226-SM-5N9DA	0	Thyroid	Thyroid	Thyroid	0.22030385
GTEX-1122O-0326-SM-5H124	0	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.502634241
GTEX-1122O-0426-SM-5H12G	0	Blood Vessel	ArteryCoronary	ArteryCoronary	0.529076961
GTEX-1122O-0526-SM-5N9DM	0.3877	Spleen	Spleen	Spleen	0.501020393
GTEX-1122O-0626-SM-5N9B9	0	Heart	Heart_AA	Heart_AtrialAppendage	0.490018159
GTEX-1122O-0726-SM-5GIEV	0.005809	Pancreas	Pancreas	Pancreas	0.477892113
GTEX-1122O-0826-SM-5GICV	0	Heart	Heart_LV	Heart_LeftVentricle	0.211297777
GTEX-1122O-0926-SM-5N9C9	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.573214351
GTEX-1122O-1126-SM-5NQ8X	0	Blood Vessel	ArteryAorta	ArteryAorta	0.539610497
GTEX-1122O-1226-SM-5H113	0.05821	Breast	Breast	Breast_MammaryTissue	0.552006418
GTEX-1122O-1326-SM-5H11F	1.584	Small Intestine	Small_Intestine	Small_Intestine	0.592568476
GTEX-1122O-1426-SM-5H11R	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.307749312
GTEX-1122O-1526-SM-5N9CL	0.9081	Colon	Colon_Transverse	Colon_Transverse	0.583869709
GTEX-1122O-1626-SM-5N9CX	0.03434	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.538879416
GTEX-1122O-1726-SM-5GICM	0.02957	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.670000851
GTEX-1122O-1826-SM-5EGIP	0	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.553263141
GTEX-1122O-1926-SM-5EGIQ	0.2085	Stomach	Stomach	Stomach	0.596509421
GTEX-1122O-2026-SM-5NQ91	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.549394381
GTEX-1122O-2126-SM-5EGIR	0.23	Skin	Skin_SunExposed	Skin_SunExposed	0.624341722
GTEX-1122O-2426-SM-5GIDN	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.544509479
GTEX-1128S-0005-SM-5P9HI	0.03481	Blood	WholeBlood	WholeBlood	0.439387885
GTEX-1128S-0008-SM-5Q5DP	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.591756248
GTEX-1128S-0126-SM-5H12S	0	Thyroid	Thyroid	Thyroid	0.191918348
GTEX-1128S-0326-SM-5GZZF	0.01388	Blood Vessel	ArteryAorta	ArteryAorta	0.269692646
GTEX-1128S-0726-SM-5N9D6	0	Lung	Lung	Lung	0.391815564
GTEX-1128S-0826-SM-5GZZI	0	Pancreas	Pancreas	Pancreas	0.200954434
GTEX-1128S-0926-SM-5GZZU	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.520571289
GTEX-1128S-1626-SM-5H12O	1.089	Colon	Colon_Transverse	Colon_Transverse	0.65978543
GTEX-1128S-2126-SM-5H12U	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.555534435
GTEX-1128S-2326-SM-5GZZY	0.4587	Skin	Skin_SunExposed	Skin_SunExposed	0.577081477
GTEX-1128S-2426-SM-5H11B	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.119218744
GTEX-1128S-2526-SM-5H11N	0.01414	Blood Vessel	ArteryTibial	ArteryTibial	0.530399791
GTEX-1128S-2626-SM-5H11Z	0	Pituitary	Pituitary	Pituitary	0.189912906
GTEX-1128S-2726-SM-5H12C	0.03628	Brain	Brain_Cortex	Brain_Cortex	0.465248561
GTEX-1128S-2826-SM-5N9DI	0	Brain	Brain_Cerebellum	Brain_Cerebellum	0.625801813
GTEX-113IC-0006-SM-5NQ9C	0.1422	Blood	WholeBlood	WholeBlood	0.56920756
GTEX-113IC-0008-SM-5QGRF	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.693204279
GTEX-113IC-0126-SM-5HL6T	0.04569	Skin	Skin_SunExposed	Skin_SunExposed	0.40871933
GTEX-113IC-0226-SM-5HL5C	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.314565351
GTEX-113IC-0426-SM-5HL5O	0	Blood Vessel	ArteryTibial	ArteryTibial	0.280201244
GTEX-113IC-0526-SM-5HL76	0.03146	Nerve	NerveTibial	Nerve_Tibial	0.455627839
GTEX-113JC-0006-SM-5O997	0.008948	Blood	WholeBlood	WholeBlood	0.427806118
GTEX-113JC-0008-SM-5QGR6	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.416089385
GTEX-113JC-0126-SM-5EGJW	0	Thyroid	Thyroid	Thyroid	0.141905798
GTEX-113JC-0726-SM-5GZZR	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.244835111
GTEX-113JC-0926-SM-5H114	0	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.210810183
GTEX-113JC-1026-SM-5H117	0	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.19758293
GTEX-113JC-1926-SM-5N9GE	0.08988	Vagina	Vagina	Vagina	0.492122306
GTEX-113JC-2226-SM-5EGJG	0.0169	Uterus	Uterus	Uterus	0.471788397
GTEX-113JC-2326-SM-5EQ4E	0.03543	Skin	Skin_SunExposed	Skin_SunExposed	0.471277608
GTEX-113JC-2726-SM-5EGIS	0.009845	Muscle	MuscleSkeletal	Muscle_Skeletal	0.40429553
GTEX-113JC-2826-SM-5EGIT	0	Pituitary	Pituitary	Pituitary	0.355233362
GTEX-117XS-0005-SM-5PNU6	0.08843	Blood	WholeBlood	WholeBlood	0.575088329
GTEX-117XS-0008-SM-5Q5DQ	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.705274251
GTEX-117XS-0426-SM-5GZZN	0	Blood Vessel	ArteryAorta	ArteryAorta	0.264789023
GTEX-117XS-0526-SM-5987Q	0.01716	Thyroid	Thyroid	Thyroid	0.398432339
GTEX-117XS-0726-SM-5H131	0	Heart	Heart_AA	Heart_AtrialAppendage	0.289626029
GTEX-117XS-1926-SM-5GICO	0.006922	Breast	Breast	Breast_MammaryTissue	0.579406259
GTEX-117XS-2026-SM-5GID1	2.364	Testis	Testis	Testis	0.789819494
GTEX-117XS-2226-SM-5GIE1	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.541064203
GTEX-117XS-2526-SM-5H11G	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.526153182
GTEX-117XS-2726-SM-5N9BL	0	Skin	Skin_SunExposed	Skin_SunExposed	0.569433074
GTEX-117XS-2926-SM-5N9BX	0.01566	Pituitary	Pituitary	Pituitary	0.472191027
GTEX-117XS-3026-SM-5N9CA	0.1896	Brain	Brain_Cortex	Brain_Cortex	0.459363566
GTEX-117XS-3126-SM-5GIDP	0	Brain	Brain_Cerebellum	Brain_Cerebellum	0.689488057
GTEX-117YW-0005-SM-5NQ8Z	0.04246	Blood	WholeBlood	WholeBlood	0.563873877
GTEX-117YW-0008-SM-5QGRD	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.568037562
GTEX-117YW-0126-SM-5EGGN	0	Thyroid	Thyroid	Thyroid	0.467751389
GTEX-117YW-0226-SM-5N9CM	0	Blood Vessel	ArteryAorta	ArteryAorta	0.21502502
GTEX-117YW-0326-SM-5N9CY	0	Heart	Heart_LV	Heart_LeftVentricle	0.196127847
GTEX-117YW-0426-SM-5GZZZ	0.004287	Heart	Heart_AA	Heart_AtrialAppendage	0.462297229
GTEX-117YW-0526-SM-5H11C	0.01396	Lung	Lung	Lung	0.320923334
GTEX-117YW-0826-SM-5H11O	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.443895464
GTEX-117YW-1426-SM-5EGGO	0.03827	Prostate	Prostate	Prostate	0.437255562
GTEX-117YW-1526-SM-5EGGP	1.74	Testis	Testis	Testis	0.703356268
GTEX-117YW-1826-SM-5PNY5	0.5325	Colon	Colon_Transverse	Colon_Transverse	0.596551078
GTEX-117YW-1926-SM-5H121	0.03758	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.585739921
GTEX-117YW-2026-SM-5N9BH	0	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.418761441
GTEX-117YW-2226-SM-5N9DB	0.09128	Stomach	Stomach	Stomach	0.405624824
GTEX-117YW-2426-SM-5Q5AE	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.531735452
GTEX-117YW-2626-SM-5GZZH	0.05314	Skin	Skin_SunExposed	Skin_SunExposed	0.54251205
GTEX-117YW-2726-SM-5GZZT	0.07155	Blood Vessel	ArteryTibial	ArteryTibial	0.546808904
GTEX-117YW-2826-SM-5H116	0.06072	Pituitary	Pituitary	Pituitary	0.411704366
GTEX-117YX-0126-SM-5EGH5	0	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.462691531
GTEX-117YX-0226-SM-5EGH6	0	Pancreas	Pancreas	Pancreas	0.538637885
GTEX-117YX-0326-SM-5GICL	0.02624	Small Intestine	Small_Intestine	Small_Intestine	0.355051693
GTEX-117YX-0526-SM-5EGJH	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.502314116
GTEX-117YX-0626-SM-5EGJI	0	Heart	Heart_AA	Heart_AtrialAppendage	0.220114154
GTEX-117YX-0726-SM-5GIET	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.350121891
GTEX-117YX-0826-SM-5H11J	0	Colon	Colon_Transverse	Colon_Transverse	0.507406513
GTEX-117YX-1026-SM-5H11V	0.2171	Stomach	Stomach	Stomach	0.683143847
