SampleID	Cancer	Groups	EXTENDScores
TCGA-55-7994-01	LUAD	TERT expr	0.477181268
TCGA-55-7995-01	LUAD	TERT expr	0.446598577
TCGA-55-8085-01	LUAD	TERT expr	0.401235575
TCGA-55-8087-01	LUAD	TERT expr	0.354540174
TCGA-55-8089-01	LUAD	TERT expr	0.376863456
TCGA-55-8090-01	LUAD	TERT expr	0.343921514
TCGA-55-8091-01	LUAD	TERT expr	0.199378877
TCGA-55-8092-01	LUAD	TERT expr	0.41807699
TCGA-55-8094-01	LUAD	TERT expr	0.502006859
TCGA-55-8096-01	LUAD	TERT expr	0.264360664
TCGA-55-8097-01	LUAD	TERT expr	0.321743404
TCGA-55-8203-01	LUAD	TERT expr	0.403541113
TCGA-55-8205-01	LUAD	TERT expr	0.563274018
TCGA-55-8206-01	LUAD	TERT expr	0.312985043
TCGA-55-8207-01	LUAD	TERT expr	0.239210288
TCGA-55-8208-01	LUAD	TERT expr	0.281925356
TCGA-55-8299-01	LUAD	TERT expr	0.422275015
TCGA-55-8301-01	LUAD	TERT expr	0.459864375
TCGA-55-8302-01	LUAD	TERT expr	0.371271941
TCGA-55-8505-01	LUAD	TERT expr	0.340746854
TCGA-55-8506-01	LUAD	TERT expr	0.418487985
TCGA-55-8507-01	LUAD	TERT expr	0.465586773
TCGA-55-8508-01	LUAD	TERT expr	0.388705489
TCGA-55-8510-01	LUAD	TERT expr	0.319696386
TCGA-55-8511-01	LUAD	TERT expr	0.408327251
TCGA-55-8512-01	LUAD	TERT expr	0.221571229
TCGA-55-8514-01	LUAD	TERT expr	0.401095074
TCGA-55-8615-01	LUAD	TERT expr	0.357432629
TCGA-55-8616-01	LUAD	TERT expr	0.463463921
TCGA-55-8619-01	LUAD	TERT expr	0.198871017
TCGA-55-8620-01	LUAD	TERT expr	0.566706502
TCGA-55-A48X-01	LUAD	TERT expr	0.356782858
TCGA-55-A48Z-01	LUAD	TERT expr	0.416450557
TCGA-55-A490-01	LUAD	TERT expr	0.420568081
TCGA-55-A491-01	LUAD	TERT expr	0.401703263
TCGA-55-A492-01	LUAD	TERT expr	0.270198442
TCGA-55-A493-01	LUAD	TERT expr	0.492918313
TCGA-55-A494-01	LUAD	TERT expr	0.468843886
TCGA-55-A4DF-01	LUAD	TERT expr	0.596110966
TCGA-55-A4DG-01	LUAD	TERT expr	0.338370371
TCGA-56-1622-01	LUSC	TERT expr	0.517312349
TCGA-56-5897-01	LUSC	TERT expr	0.330798272
TCGA-56-5898-01	LUSC	TERT expr	0.356884265
TCGA-56-6545-01	LUSC	TERT expr	0.393799738
TCGA-56-6546-01	LUSC	TERT expr	0.664826765
TCGA-5N-A9KI-01	BLCA	TERT expr	0.355306928
TCGA-5N-A9KM-01	BLCA	TERT expr	0.413351788
TCGA-60-2698-01	LUSC	TERT expr	0.38701983
TCGA-60-2707-01	LUSC	TERT expr	0.34718019
TCGA-60-2708-01	LUSC	TERT expr	0.445578979
TCGA-60-2709-01	LUSC	TERT expr	0.365900037
TCGA-60-2711-01	LUSC	TERT expr	0.539432898
TCGA-60-2713-01	LUSC	TERT expr	0.386476129
TCGA-60-2719-01	LUSC	TERT expr	0.553386182
TCGA-60-2720-01	LUSC	TERT expr	0.37575588
TCGA-60-2721-01	LUSC	TERT expr	0.469299058
TCGA-60-2722-01	LUSC	TERT expr	0.546944842
TCGA-60-2724-01	LUSC	TERT expr	0.41323358
TCGA-60-2725-01	LUSC	TERT expr	0.399943337
TCGA-60-2726-01	LUSC	TERT expr	0.715220213
TCGA-62-8394-01	LUAD	TERT expr	0.466619423
TCGA-62-8395-01	LUAD	TERT expr	0.282928909
TCGA-62-8398-01	LUAD	TERT expr	0.419602773
TCGA-62-8399-01	LUAD	TERT expr	0.540095798
TCGA-62-8402-01	LUAD	TERT expr	0.459414247
TCGA-62-A46O-01	LUAD	TERT expr	0.557025973
TCGA-62-A46P-01	LUAD	TERT expr	0.29822666
TCGA-62-A46R-01	LUAD	TERT expr	0.419824402
TCGA-62-A46S-01	LUAD	TERT expr	0.258377809
TCGA-62-A46U-01	LUAD	TERT expr	0.394766093
TCGA-62-A46V-01	LUAD	TERT expr	0.387300842
TCGA-62-A46Y-01	LUAD	TERT expr	0.333424536
TCGA-62-A470-01	LUAD	TERT expr	0.504297281
TCGA-62-A471-01	LUAD	TERT expr	0.568151932
TCGA-62-A472-01	LUAD	TERT expr	0.453721346
TCGA-63-5128-01	LUSC	TERT expr	0.515669764
TCGA-63-5131-01	LUSC	TERT expr	0.448911577
TCGA-63-6202-01	LUSC	TERT expr	0.49508935
TCGA-64-1676-01	LUAD	TERT expr	0.324128223
TCGA-64-1678-01	LUAD	TERT expr	0.572551955
TCGA-64-1679-01	LUAD	TERT expr	0.345728686
TCGA-64-1680-01	LUAD	TERT expr	0.300524349
TCGA-64-5774-01	LUAD	TERT expr	0.535993508
TCGA-64-5778-01	LUAD	TERT expr	0.352979559
TCGA-64-5779-01	LUAD	TERT expr	0.49499354
TCGA-66-2727-01	LUSC	TERT expr	0.487197106
TCGA-66-2734-01	LUSC	TERT expr	0.42003981
TCGA-66-2742-01	LUSC	TERT expr	0.50463522
TCGA-66-2744-01	LUSC	TERT expr	0.431619914
TCGA-66-2754-01	LUSC	TERT expr	0.853605748
TCGA-66-2755-01	LUSC	TERT expr	0.530565565
TCGA-66-2756-01	LUSC	TERT expr	0.591685481
TCGA-66-2757-01	LUSC	TERT expr	0.609258233
TCGA-66-2758-01	LUSC	TERT expr	0.501395199
TCGA-66-2759-01	LUSC	TERT expr	0.445915093
TCGA-66-2763-01	LUSC	TERT expr	0.527286305
TCGA-66-2765-01	LUSC	TERT expr	0.48495397
TCGA-66-2766-01	LUSC	TERT expr	0.517233112
TCGA-66-2767-01	LUSC	TERT expr	0.408131804
TCGA-66-2770-01	LUSC	TERT expr	0.411660502
TCGA-66-2771-01	LUSC	TERT expr	0.479057637
TCGA-66-2773-01	LUSC	TERT expr	0.382353808
TCGA-66-2777-01	LUSC	TERT expr	0.381058484
