SampleID	EXTENDScores	TERT_log2Intensity	Mechanism
GSM3403033	0.391366341	7.527318727	ALT
GSM3403041	0.267383874	7.119068597	ALT
GSM3403060	0.421208022	8.629165134	ALT
GSM3403061	0.325790574	9.037026722	ALT
GSM3403076	0.502387834	7.957430846	ALT
GSM3403085	0.448254005	8.321155	ALT
GSM3403104	0.405916347	7.202622052	ALT
GSM3403105	0.374754601	10.74248837	ALT
GSM3403108	0.342442703	8.981280694	ALT
GSM3403119	0.400554172	9.245260672	ALT
GSM3403136	0.285877463	8.74438551	ALT
GSM3403140	0.714220582	9.018407046	ALT
GSM3403143	0.21153078	7.506202722	ALT
GSM3403145	0.485803351	7.518276018	ALT
GSM3403146	0.462046332	6.905964797	ALT
GSM3403158	0.327742943	7.843580152	ALT
GSM3403160	0.335820356	7.577719369	ALT
GSM3403161	1	15.26209621	ALT
GSM3403166	0.299257524	7.872420958	ALT
GSM3403170	0.556473234	9.501343802	ALT
GSM3403172	0.525366858	8.233486784	ALT
GSM3403175	0.347685557	8.549481919	ALT
GSM3403180	0.420795919	7.721715089	ALT
