SampleID	Stemness	NormEXTENDScores	Phase
HNSCC17_P1_HNSCC17_P1_F03	0.475602530527949	0.358080312279184	NonCycling
HNSCC17_P1_HNSCC17_P1_F07	0.804087222493008	0.463053519689432	G2_M
HNSCC17_P1_HNSCC17_P1_F09	0.546553959409172	0.178554545959861	NonCycling
HNSCC17_P1_HNSCC17_P1_F11	0.520385536776912	0.20330329665281	NonCycling
HNSCC17_P1_HNSCC17_P1_F12	0.546873287065076	0.294677382852982	G2_M
HNSCC17_P1_HNSCC17_P1_G01	0.571641389251255	0.346309428088218	NonCycling
HNSCC17_P1_HNSCC17_P1_G04	0.4343200721799	0.278368481801046	NonCycling
HNSCC17_P1_HNSCC17_P1_G06	0.439299872342756	0.160424105245065	NonCycling
HNSCC17_P1_HNSCC17_P1_G07	0.672876626927065	0.462622876840098	G1_S
HNSCC17_P1_HNSCC17_P1_G09	0.620530412509751	0.316521259695105	G2_M
HNSCC17_P1_HNSCC17_P1_H01	0.625445558630893	0.398258988034029	G2_M
HNSCC17_P1_HNSCC17_P1_H02	0.455421565474841	0.277477684137866	NonCycling
HNSCC17_P1_HNSCC17_P1_H03	0.776919984707172	0.704371118532566	G1_S
HNSCC17_P1_HNSCC17_P1_H05	0.789974819620026	0.534291106893469	G1_S
HNSCC17_P1_HNSCC17_P1_H06	0.534266735235252	0.310454075585268	NonCycling
HNSCC17_P1_HNSCC17_P1_H07	0.707396526916808	0.315548620825654	G1_S
HNSCC17_P1_HNSCC17_P1_H09	0.748957367051056	0.196600714646326	G2_M
HNSCC17_P1_HNSCC17_P1_H10	0.426697850201142	0.230710805807612	NonCycling
HNSCC17_P1_HNSCC17_P1_H11	0.776484057566758	0.311134004101457	G2_M
HNSCC17_P1_HNSCC17_P1_H12	0.645942911147037	0.437266882120883	G2_M
HNSCC17_P2_A02_S2_comb	0.413152733774911	0.263738369496314	NonCycling
HNSCC17_P2_A03_S3_comb	0.383903828158073	0.168682978196606	NonCycling
HNSCC17_P2_A05_S5_comb	0.436059651100998	0.384335031615804	NonCycling
HNSCC17_P2_A08_S8_comb	0.348343861318091	0.236059739337405	NonCycling
HNSCC17_P2_A11_S11_comb	0.710757168041206	0.199285394581193	G2_M
HNSCC17_P2_B03_S15_comb	0.790553338743196	0.42356352364	G1_S
HNSCC17_P2_B04_S16_comb	0.380888010840827	0.318787439872522	NonCycling
HNSCC17_P2_B07_S19_comb	0.670170474797057	0.395326689763521	G2_M
HNSCC17_P2_C03_S27_comb	0.429002705914461	0.121832832978094	NonCycling
HNSCC17_P2_C04_S28_comb	0.446768543943178	0.343615811556036	NonCycling
HNSCC17_P2_C06_S30_comb	0.624389269665544	0.318457109367151	NonCycling
HNSCC17_P2_C09_S33_comb	0.618417320939431	0.497060541762936	G1_S
HNSCC17_P2_C10_S34_comb	0.859688767624319	0.403632545851005	G1_S
HNSCC17_P2_C11_S35_comb	0.507139229825313	0.154737951601864	NonCycling
HNSCC17_P2_C12_S36_comb	0.542494067811175	0.445519826380836	G2_M
HNSCC17_P2_D01_S37_comb	0.46740641876344	0.221889189077269	NonCycling
HNSCC17_P2_D04_S40_comb	0.353360803902125	0.15897926292589	NonCycling
HNSCC17_P2_D06_S42_comb	0.648492976126451	0.310570794886321	G2_M
HNSCC17_P2_D07_S43_comb	0.692408511295317	0.200262591866441	G2_M
